"year","county_name","county_fips","party","totalvotes","ratio"
2000,"ACCOMACK",51001,"DEMOCRAT",11925,0.427002096436059
2000,"ACCOMACK",51001,"REPUBLICAN",11925,0.532662473794549
2000,"ALBEMARLE",51003,"DEMOCRAT",36846,0.441160505889377
2000,"ALBEMARLE",51003,"REPUBLICAN",36846,0.49641752157629
2000,"ALLEGHANY",51005,"DEMOCRAT",5123,0.432168651180949
2000,"ALLEGHANY",51005,"REPUBLICAN",5123,0.548116338083154
2000,"AMELIA",51007,"DEMOCRAT",4788,0.366332497911445
2000,"AMELIA",51007,"REPUBLICAN",4788,0.615497076023392
2000,"AMHERST",51009,"DEMOCRAT",11712,0.410860655737705
2000,"AMHERST",51009,"REPUBLICAN",11712,0.568647540983607
2000,"APPOMATTOX",51011,"DEMOCRAT",5927,0.359709802598279
2000,"APPOMATTOX",51011,"REPUBLICAN",5927,0.616500759237388
2000,"ARLINGTON",51013,"DEMOCRAT",83559,0.601491161933484
2000,"ARLINGTON",51013,"REPUBLICAN",83559,0.341734582749913
2000,"AUGUSTA",51015,"DEMOCRAT",25271,0.262870483953939
2000,"AUGUSTA",51015,"REPUBLICAN",25271,0.702148708005223
2000,"BATH",51017,"DEMOCRAT",2210,0.371945701357466
2000,"BATH",51017,"REPUBLICAN",2210,0.593212669683258
2000,"BEDFORD",51019,"DEMOCRAT",26149,0.312057822478871
2000,"BEDFORD",51019,"REPUBLICAN",26149,0.658686756663735
2000,"BLAND",51021,"DEMOCRAT",2688,0.316592261904762
2000,"BLAND",51021,"REPUBLICAN",2688,0.654389880952381
2000,"BOTETOURT",51023,"DEMOCRAT",13840,0.334320809248555
2000,"BOTETOURT",51023,"REPUBLICAN",13840,0.640679190751445
2000,"BRUNSWICK",51025,"DEMOCRAT",5997,0.564782391195598
2000,"BRUNSWICK",51025,"REPUBLICAN",5997,0.427046856761714
2000,"BUCHANAN",51027,"DEMOCRAT",9856,0.582893668831169
2000,"BUCHANAN",51027,"REPUBLICAN",9856,0.392349837662338
2000,"BUCKINGHAM",51029,"DEMOCRAT",5454,0.46956362302897
2000,"BUCKINGHAM",51029,"REPUBLICAN",5454,0.502016868353502
2000,"CAMPBELL",51031,"DEMOCRAT",20327,0.327593840704482
2000,"CAMPBELL",51031,"REPUBLICAN",20327,0.64751315983667
2000,"CAROLINE",51033,"DEMOCRAT",8351,0.516584840138905
2000,"CAROLINE",51033,"REPUBLICAN",8351,0.463776793198419
2000,"CARROLL",51035,"DEMOCRAT",11001,0.330697209344605
2000,"CARROLL",51035,"REPUBLICAN",11001,0.649213707844741
2000,"CHARLES CITY",51036,"DEMOCRAT",3066,0.646118721461187
2000,"CHARLES CITY",51036,"REPUBLICAN",3066,0.333659491193738
2000,"CHARLOTTE",51037,"DEMOCRAT",4994,0.403884661593913
2000,"CHARLOTTE",51037,"REPUBLICAN",4994,0.571686023227873
2000,"CHESTERFIELD",51041,"DEMOCRAT",110951,0.348243819343674
2000,"CHESTERFIELD",51041,"REPUBLICAN",110951,0.630224153004479
2000,"CLARKE",51043,"DEMOCRAT",5284,0.409916729750189
2000,"CLARKE",51043,"REPUBLICAN",5284,0.545609386828161
2000,"CRAIG",51045,"DEMOCRAT",2493,0.341355796229442
2000,"CRAIG",51045,"REPUBLICAN",2493,0.633774568792619
2000,"CULPEPER",51047,"DEMOCRAT",12244,0.356419470761189
2000,"CULPEPER",51047,"REPUBLICAN",12244,0.607644560601111
2000,"CUMBERLAND",51049,"DEMOCRAT",3507,0.400627316794981
2000,"CUMBERLAND",51049,"REPUBLICAN",3507,0.562874251497006
2000,"DICKENSON",51051,"DEMOCRAT",7226,0.546775532798229
2000,"DICKENSON",51051,"REPUBLICAN",7226,0.432050927207307
2000,"DINWIDDIE",51053,"DEMOCRAT",9136,0.437937828371278
2000,"DINWIDDIE",51053,"REPUBLICAN",9136,0.542797723292469
2000,"ESSEX",51057,"DEMOCRAT",3831,0.456799791177238
2000,"ESSEX",51057,"REPUBLICAN",3831,0.520751761942052
2000,"FAIRFAX",51059,"DEMOCRAT",413775,0.474898193462631
2000,"FAIRFAX",51059,"REPUBLICAN",413775,0.488625460697239
2000,"FAUQUIER",51061,"DEMOCRAT",23481,0.353306929006431
2000,"FAUQUIER",51061,"REPUBLICAN",23481,0.615646693070994
2000,"FLOYD",51063,"DEMOCRAT",5739,0.341000174246384
2000,"FLOYD",51063,"REPUBLICAN",5739,0.596445373758494
2000,"FLUVANNA",51065,"DEMOCRAT",8706,0.394096025729382
2000,"FLUVANNA",51065,"REPUBLICAN",8706,0.569951757408684
2000,"FRANKLIN",51067,"DEMOCRAT",18829,0.379467842158373
2000,"FRANKLIN",51067,"REPUBLICAN",18829,0.596154867491635
2000,"FREDERICK",51069,"DEMOCRAT",22392,0.319667738478028
2000,"FREDERICK",51069,"REPUBLICAN",22392,0.65085744908896
